bichoice,range,home_chg,work_chg,town,highway,gender,state,Region,education,employment,hsincome,hsize,housit,residence,all_cars,ev_cars,home_parking,home_evse,work_parking,work_evse,buycar,zipcode,dmileage,long_dist,Age_category,RUCA
0,2,5,2,3,3,0,Tennessee,2,3,2,1,3,1,1,1,0,3,2,2,2,1,37129,30,2,2,1
0,3,1,2,1,4,0,Tennessee,2,3,2,1,3,1,1,1,0,3,2,2,2,1,37129,30,2,2,1
0,3,2,3,3,4,0,Tennessee,2,3,2,1,3,1,1,1,0,3,2,2,2,1,37129,30,2,2,1
1,4,0,3,1,2,0,Tennessee,2,3,2,1,3,1,1,1,0,3,2,2,2,1,37129,30,2,2,1
0,4,1,10,4,1,0,Tennessee,2,1,1,3,4,1,1,2,0,3,2,2,2,1,37144,30,2,2,3
1,1,0,5,1,3,0,Tennessee,2,1,1,3,4,1,1,2,0,3,2,2,2,1,37144,30,2,2,3
1,1,10,1,2,3,0,Tennessee,2,1,1,3,4,1,1,2,0,3,2,2,2,1,37144,30,2,2,3
0,1,20,2,3,2,0,Tennessee,2,1,1,3,4,1,1,2,0,3,2,2,2,1,37144,30,2,2,3
1,2,0,1,2,4,0,Tennessee,2,1,1,3,4,1,1,2,0,3,2,2,2,1,37144,30,2,2,3
1,3,3,2,1,2,0,Tennessee,2,1,1,3,4,1,1,2,0,3,2,2,2,1,37144,30,2,2,3
0,3,1,5,3,4,0,Tennessee,2,4,4,1,4,1,1,1,0,3,2,5,2,2,37167,30,2,1,1
0,2,10,20,2,4,0,Tennessee,2,4,4,1,4,1,1,1,0,3,2,5,2,2,37167,30,2,1,1
0,2,3,10,3,3,0,Tennessee,2,4,4,1,4,1,1,1,0,3,2,5,2,2,37167,30,2,1,1
0,4,0,20,4,2,0,Tennessee,2,4,4,1,4,1,1,1,0,3,2,5,2,2,37167,30,2,1,1
0,3,5,3,2,1,0,Tennessee,2,4,4,1,4,1,1,1,0,3,2,5,2,2,37167,30,2,1,1
0,1,2,3,3,2,0,Tennessee,2,4,4,1,4,1,1,1,0,3,2,5,2,2,37167,30,2,1,1
1,4,2,5,2,2,0,Tennessee,2,3,1,1,1,1,2,1,0,1,3,5,3,3,37205,40,1,3,1
1,3,10,0,3,3,0,Tennessee,2,3,1,1,1,1,2,1,0,1,3,5,3,3,37205,40,1,3,1
1,2,5,20,3,4,0,Tennessee,2,3,1,1,1,1,2,1,0,1,3,5,3,3,37205,40,1,3,1
1,3,1,1,3,2,0,Tennessee,2,3,1,1,1,1,2,1,0,1,3,5,3,3,37205,40,1,3,1
1,4,2,20,2,1,0,Tennessee,2,3,1,1,1,1,2,1,0,1,3,5,3,3,37205,40,1,3,1
1,3,3,2,3,3,0,Tennessee,2,3,1,1,1,1,2,1,0,1,3,5,3,3,37205,40,1,3,1
1,3,20,5,2,3,0,Tennessee,2,3,1,2,2,1,1,1,0,1,2,6,3,3,37347,15,4,3,3
1,2,1,2,2,1,0,Tennessee,2,3,1,2,2,1,1,1,0,1,2,6,3,3,37347,15,4,3,3
1,3,20,20,4,1,0,Tennessee,2,3,1,2,2,1,1,1,0,1,2,6,3,3,37347,15,4,3,3
1,1,5,3,2,4,0,Tennessee,2,3,1,2,2,1,1,1,0,1,2,6,3,3,37347,15,4,3,3
1,1,20,2,3,2,0,Tennessee,2,3,1,2,2,1,1,1,0,1,2,6,3,3,37347,15,4,3,3
